token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
2002	πρός	r--------		πρός		r--------	glaux_only
2003	ὁ	l-s---na-		ὁ		l-s---na-	glaux_only
2004	φρόνιμος	d--------		φρόνιμος		d--------	glaux_only
2005	ἔχω	v--pna---		ἔχω		v--pna---	glaux_only
2006	.	u--------		.		u--------	glaux_only
2007	δέω	v3siia---		δέω		v3siia---	glaux_only
2008	δή	g--------		δή		g--------	glaux_only
2009	σύ	p2p---cd-		σύ		p2p---cd-	glaux_only
2010	ὁ	l-s---fa-		ὁ		l-s---fa-	glaux_only
2011	ἐμός	a-s---fa-		ἐμός		a-s---fa-	glaux_only
2012	πλάνη	n-s---fa-		πλάνη		n-s---fa-	glaux_only
2013	ἐπιδείκνυμι	v--ana---		ἐπιδείκνυμι		v--ana---	glaux_only
2014	ὥσπερ	d--------		ὥσπερ		d--------	glaux_only
2015	πόνος	n-p---ma-		πόνος		n-p---ma-	glaux_only
2016	τις	p-p---ca-		τις		p-p---ca-	glaux_only
2017	πονέω	v-sppamg-		πονέω		v-sppamg-	glaux_only
2018	ἵνα	c--------		ἵνα		c--------	glaux_only
2019	ἐγώ	p1s---cd-		ἐγώ		p1s---cd-	glaux_only
2020	καί	d--------	καί	καί	c--------	d--------	
2021	ἀνέλεγκτος	a-s---fn-		ἀνέλεγκτος		a-s---fn-	glaux_only
2022	ὁ	l-s---fn-		ὁ		l-s---fn-	glaux_only
2023	μαντεία	n-s---fn-		μαντεία		n-s---fn-	glaux_only
2024	γίγνομαι	v3saom---		γίγνομαι		v3saom---	glaux_only
2025	.	u--------		.		u--------	glaux_only
2026	μετά	r--------		μετά		r--------	glaux_only
2027	γάρ	g--------		γάρ		g--------	glaux_only
2028	ὁ	l-p---ma-		ὁ		l-p---ma-	glaux_only
2029	πολιτικός	a-p---ma-		πολιτικός		a-p---ma-	glaux_only
2030	ἔρχομαι	v1siia---		ἔρχομαι		v1siia---	glaux_only
